L,h,T,E,C,FM,Xfm,AFM,Xafm
32,0,3.871000,-0.580546,0.185759,0.000730,1.188666,0.000055,0.106394
32,0,3.792000,-0.596112,0.197628,0.000653,1.291183,0.000053,0.107149
32,0,3.713000,-0.611844,0.210605,0.000599,1.384656,0.000048,0.107667
32,0,3.634000,-0.628834,0.225155,0.000552,1.503220,0.000055,0.107468
32,0,3.555000,-0.647219,0.236938,0.000880,1.645680,0.000049,0.107347
32,0,3.476000,-0.665577,0.252102,0.000840,1.792936,0.000044,0.106907
32,0,3.397000,-0.686432,0.272162,0.000947,2.005023,0.000059,0.106825
32,0,3.318000,-0.709025,0.289678,0.001092,2.226063,0.000047,0.107982
32,0,3.239000,-0.732486,0.314067,0.001398,2.517278,0.000053,0.106998
32,0,3.160000,-0.758280,0.338844,0.001254,2.836370,0.000054,0.106339
32,0,3.081000,-0.787077,0.365411,0.001943,3.284470,0.000045,0.106294
32,0,3.002000,-0.816499,0.399574,0.002557,3.804225,0.000081,0.105481
32,0,2.923000,-0.849799,0.436969,0.002608,4.592117,0.000039,0.104579
32,0,2.844000,-0.885504,0.481872,0.002932,5.621889,0.000046,0.104155
32,0,2.765000,-0.927520,0.546859,0.004275,7.184633,0.000054,0.101248
32,0,2.686000,-0.972458,0.613369,0.006688,9.526280,0.000049,0.098753
32,0,2.607000,-1.023934,0.692349,0.003818,13.076717,0.000039,0.095882
32,0,5.056000,-0.422982,0.095076,0.000063,0.099398,0.000372,0.556932
32,0,4.977000,-0.430074,0.098084,0.000046,0.100453,0.000378,0.580448
32,0,4.898000,-0.438777,0.102460,0.000076,0.100394,0.000458,0.600721
32,0,4.819000,-0.446535,0.107657,0.000074,0.101389,0.000386,0.627162
32,0,4.740000,-0.455084,0.111466,0.000062,0.101858,0.000396,0.648482
32,0,4.661000,-0.464595,0.115543,0.000059,0.101258,0.000456,0.675385
32,0,4.582000,-0.473600,0.120481,0.000052,0.102160,0.000533,0.713370
32,0,4.503000,-0.483827,0.126428,0.000069,0.103623,0.000635,0.753229
32,0,4.424000,-0.493032,0.132039,0.000049,0.103723,0.000603,0.787251
32,0,4.345000,-0.503937,0.138454,0.000057,0.103983,0.000413,0.834591
32,0,4.266000,-0.515955,0.144903,0.000066,0.105088,0.000602,0.882696
32,0,4.187000,-0.527226,0.152740,0.000063,0.105554,0.000550,0.918086
32,0,4.108000,-0.539310,0.159901,0.000062,0.105923,0.000718,0.977904
32,0,4.029000,-0.552803,0.167474,0.000058,0.105860,0.000725,1.050363
32,0,3.950000,-0.566786,0.176305,0.000061,0.106566,0.000694,1.117176
32,0,3.871000,-0.580351,0.186671,0.000080,0.106441,0.000621,1.196090
32,0,3.792000,-0.595307,0.197524,0.000052,0.107030,0.000780,1.281456
32,0,3.713000,-0.611403,0.208688,0.000088,0.107000,0.000911,1.385549
32,0,3.634000,-0.628993,0.220560,0.000056,0.107344,0.001110,1.506776
32,0,3.555000,-0.646863,0.235491,0.000053,0.107818,0.000951,1.642700
32,0,3.476000,-0.665818,0.251973,0.000076,0.105401,0.000846,1.794611
32,0,3.397000,-0.687121,0.271072,0.000050,0.105980,0.001181,1.968315
32,0,3.318000,-0.709174,0.289091,0.000072,0.107503,0.001383,2.236344
32,0,3.239000,-0.733635,0.312996,0.000055,0.106945,0.001521,2.518395
32,0,3.160000,-0.759064,0.340194,0.000054,0.106635,0.000949,2.846557
32,0,3.081000,-0.786435,0.363054,0.000045,0.106079,0.002120,3.262060
32,0,3.002000,-0.816491,0.402082,0.000053,0.105054,0.001705,3.827568
32,0,2.923000,-0.849936,0.431851,0.000040,0.104407,0.002675,4.576902
32,0,2.844000,-0.885379,0.486528,0.000084,0.101933,0.001837,5.607524
32,0,2.765000,-0.927126,0.550124,0.000043,0.100711,0.004650,7.118724
32,0,2.686000,-0.972774,0.611407,0.000067,0.098836,0.005823,9.404790
32,0,2.607000,-1.024901,0.695208,0.000067,0.096414,0.009355,13.358626
32,0,2.528000,-1.082041,0.833768,0.000060,0.093042,0.010656,20.113898
32,0,2.449000,-1.154963,1.040913,0.000065,0.089410,0.022092,36.260078
32,0,2.370000,-1.256554,1.562371,0.000055,0.081325,0.060179,79.265060
32,0,2.291000,-1.390733,1.870848,0.000040,0.072158,0.202310,146.025476
32,0,2.212000,-1.532229,1.432492,0.000124,0.062223,0.677396,50.134828
32,0,2.133000,-1.626903,1.090155,0.000047,0.053160,0.847590,1.334009
32,0,2.054000,-1.704714,0.807909,0.000034,0.046772,0.891779,0.546600
32,0,1.975000,-1.762951,0.676580,0.000044,0.039321,0.919112,0.307398
32,0,1.896000,-1.811568,0.545161,0.000061,0.033612,0.939147,0.194113
32,0,1.817000,-1.851789,0.443083,0.000059,0.028792,0.954182,0.119610
32,0,1.738000,-1.884444,0.372811,0.000026,0.023916,0.965550,0.081641
32,0,1.659000,-1.911218,0.305773,0.000008,0.020253,0.974275,0.057161
32,0,1.580000,-1.933246,0.249396,0.000001,0.016538,0.981154,0.039640
32,0,1.501000,-1.950916,0.196772,0.000011,0.013157,0.986438,0.027052
32,0,1.422000,-1.964895,0.153682,0.000008,0.010275,0.990487,0.018442
32,0,1.343000,-1.975556,0.118374,0.000001,0.007789,0.993475,0.012669
32,0,1.264000,-1.983630,0.088432,0.000009,0.005715,0.995688,0.008477
32,0,1.185000,-1.989535,0.062968,0.000002,0.003977,0.997276,0.005403
32,0,1.106000,-1.993737,0.042669,0.000002,0.002627,0.998386,0.003288
32,0,1.027000,-1.996437,0.027810,0.000001,0.001630,0.999089,0.001941
32,0,0.948000,-1.998209,0.016390,0.000006,0.000898,0.999545,0.001030
32,0,0.869000,-1.999168,0.008912,0.000002,0.000463,0.999789,0.000506
32,0,0.790000,-1.999677,0.004154,0.000000,0.000199,0.999919,0.000210
